순위,곡명,아티스트,앨범,앨범이미지
15,THE LATTE,CHRIS ONE,THE LATTE,https://cdnimg.melon.co.kr/cm2/album/images/112/18/032/11218032_20230405121008_500.jpg/melon/resize/282/quality/80/optimize
16,HURT,vanhymn,HURT,https://cdnimg.melon.co.kr/cm2/album/images/112/17/936/11217936_20230405114337_500.jpg/melon/resize/282/quality/80/optimize
17,NO BRAKE IN MY CAR,지프크락 (ZIPE KROCK),NO BRAKE IN MY CAR,https://cdnimg.melon.co.kr/cm2/album/images/112/17/919/11217919_20230405112700_500.jpg/melon/resize/282/quality/80/optimize
18,want YOU,Tabber,want YOU,https://cdnimg.melon.co.kr/cm2/album/images/112/03/128/11203128_20230314184301_500.jpg/melon/resize/282/quality/80/optimize
19,Venus,JEY,Venus,https://cdnimg.melon.co.kr/cm2/album/images/112/17/582/11217582_20230404214820_500.jpg/melon/resize/282/quality/80/optimize
20,Bad Revenge,from20 (프롬트웬티),Bad Revenge,https://cdnimg.melon.co.kr/cm2/album/images/112/16/064/11216064_20230403133058_500.jpg/melon/resize/282/quality/80/optimize
21,하루필름,HYUN SEO,하루필름,https://cdnimg.melon.co.kr/cm2/album/images/112/17/583/11217583_20230404215226_500.jpg/melon/resize/282/quality/80/optimize
22,"듬뿍 (feat. SHIRT, UNE)",SOQI (쏘키),듬뿍,https://cdnimg.melon.co.kr/cm2/album/images/112/16/431/11216431_20230403162153_500.jpg/melon/resize/282/quality/80/optimize
23,NO THANKS,프리다앤 (FRIDA-ANNE),NO THANKS,https://cdnimg.melon.co.kr/cm2/album/images/112/16/716/11216716_20230403171903_500.jpg/melon/resize/282/quality/80/optimize
24,맴돌아 (Feat. OoOo),Vahn,"지금이라도,",https://cdnimg.melon.co.kr/cm2/album/images/112/17/349/11217349_20230404144850_500.jpg/melon/resize/282/quality/80/optimize
25,The Best Of Times,hell9,The Best Of Times,https://cdnimg.melon.co.kr/cm2/album/images/112/17/629/11217629_20230405092623_500.jpg/melon/resize/282/quality/80/optimize
26,Generic (Feat. 01),Liam K (리암 케이),The Director's Cut,https://cdnimg.melon.co.kr/cm2/album/images/112/17/330/11217330_20230404142958_500.jpg/melon/resize/282/quality/80/optimize
27,벚꽃이 제일 싫어 (Feat. 920),From 2020,벚꽃이 제일 싫어,https://cdnimg.melon.co.kr/cm2/album/images/112/17/325/11217325_20230404142048_500.jpg/melon/resize/282/quality/80/optimize
28,사랑같은건,JUN0,사랑같은건,https://cdnimg.melon.co.kr/cm2/album/images/112/17/309/11217309_20230404135614_500.jpg/melon/resize/282/quality/80/optimize
29,내일부터,도우너(Douner),내일부터,https://cdnimg.melon.co.kr/cm2/album/images/112/16/681/11216681_20230403171315_500.jpg/melon/resize/282/quality/80/optimize
30,Hello Find You,레이디오울,Hello Find You,https://cdnimg.melon.co.kr/cm2/album/images/112/16/429/11216429_20230403162027_500.jpg/melon/resize/282/quality/80/optimize
31,New Engine,쏘노로스(Sonorous),New Engine,https://cdnimg.melon.co.kr/cm2/album/images/112/16/426/11216426_20230403161927_500.jpg/melon/resize/282/quality/80/optimize
32,지명해줄래 (feat. Vince),다나카(TANAKA),지명해줄래 (feat. Vince),https://cdnimg.melon.co.kr/cm2/album/images/112/17/160/11217160_20230404104116_500.jpg/melon/resize/282/quality/80/optimize
33,Why,도후,WHY,https://cdnimg.melon.co.kr/cm2/album/images/112/16/947/11216947_20230404094605_500.jpg/melon/resize/282/quality/80/optimize
34,최애,SWAY (스웨이),최애(最愛),https://cdnimg.melon.co.kr/cm2/album/images/112/15/969/11215969_20230403105336_500.jpg/melon/resize/282/quality/80/optimize
35,하나 둘 셋,Xydo (시도),하나 둘 셋,https://cdnimg.melon.co.kr/cm2/album/images/112/16/102/11216102_20230403134217_500.jpg/melon/resize/282/quality/80/optimize
36,오늘은 네가 보고싶은 밤,라엘 (Ra.L),오늘은 네가 보고싶은 밤,https://cdnimg.melon.co.kr/cm2/album/images/112/16/768/11216768_20230403174839_500.jpg/melon/resize/282/quality/80/optimize
37,했던 말,THRILL (스릴),DAMN!,https://cdnimg.melon.co.kr/cm2/album/images/112/16/382/11216382_20230403160941_500.jpg/melon/resize/282/quality/80/optimize
38,"SO, RRY",5TARBOY,gAp,https://cdnimg.melon.co.kr/cm2/album/images/112/17/161/11217161_20230404104458_500.jpg/melon/resize/282/quality/80/optimize
39,Ruin,curv moon,Ruin,https://cdnimg.melon.co.kr/cm2/album/images/112/16/215/11216215_20230403135956_500.jpg/melon/resize/282/quality/80/optimize
40,Freeze (Feat. NONE),지영씨 (Jiyoungssi),Freeze (Feat. NONE),https://cdnimg.melon.co.kr/cm2/album/images/112/15/977/11215977_20230403110821_500.jpg/melon/resize/282/quality/80/optimize
41,Flirting (feat. 임정찬),Plo6,Flirting,https://cdnimg.melon.co.kr/cm2/album/images/112/16/265/11216265_20230403145132_500.jpg/melon/resize/282/quality/80/optimize
42,Anima,콜린 (COLLEEN),Love is a warm gun : channel 4,https://cdnimg.melon.co.kr/cm2/album/images/112/16/923/11216923_20230404094010_500.jpg/melon/resize/282/quality/80/optimize
43,A Little Bit Of Love,주은,Love? Love!,https://cdnimg.melon.co.kr/cm2/album/images/112/16/918/11216918_20230404093909_500.jpg/melon/resize/282/quality/80/optimize
44,I Want You,DQT,I Want You,https://cdnimg.melon.co.kr/cm2/album/images/112/16/769/11216769_20230403174941_500.jpg/melon/resize/282/quality/80/optimize
45,Verry,뷰 (VIEW),Verry,https://cdnimg.melon.co.kr/cm2/album/images/112/16/456/11216456_20230403164433_500.jpg/melon/resize/282/quality/80/optimize
46,way to you,15kish,way to you,https://cdnimg.melon.co.kr/cm2/album/images/112/16/353/11216353_20230403154724_500.jpg/melon/resize/282/quality/80/optimize
47,8월의 밤,효웅 (HYOWOONG),8월의 밤,https://cdnimg.melon.co.kr/cm2/album/images/112/16/270/11216270_20230403145537_500.jpg/melon/resize/282/quality/80/optimize
48,꿈,Jinsolam (진소람),꿈,https://cdnimg.melon.co.kr/cm2/album/images/112/16/257/11216257_20230403144231_500.jpg/melon/resize/282/quality/80/optimize
49,나는 너를,손혁준,나는 너를,https://cdnimg.melon.co.kr/cm2/album/images/112/16/253/11216253_20230403144131_500.jpg/melon/resize/282/quality/80/optimize
50,Flower (Feat. 장수빈),Splen (스플렌),Flower,https://cdnimg.melon.co.kr/cm2/album/images/112/16/252/11216252_20230403144027_500.jpg/melon/resize/282/quality/80/optimize
