"GENDER","GENERATION","ARTIST","SONG_NAME","ALBUM_NAME","ALBUM_IMG","YOUTUBE"
"여성",50,"김광석","사랑했지만","김광석 다시부르기 1，2 (리마스터)","https://musicmeta-phinf.pstatic.net/album/000/041/41171.jpg?type=r480Fll","https://www.youtube.com/watch?v=KO8nXzCMoOE"
"여성",50,"이문세","사랑은 늘 도망가","욕망의 불꽃 OST Vol.1","https://musicmeta-phinf.pstatic.net/album/000/181/181118.jpg?type=r480Fll","https://www.youtube.com/watch?v=WdW3ye8auYs"
"여성",50,"김완선","삐에로는 우릴보고 웃지","삐에로는 우릴 보고 웃지","https://musicmeta-phinf.pstatic.net/album/000/001/1573.jpg?type=r480Fll","https://www.youtube.com/watch?v=vwNrL6LSEWY"
"여성",50,"박정운","오늘 같은 밤이면","Live & Single","https://musicmeta-phinf.pstatic.net/album/000/000/281.jpg?type=r480Fll","https://www.youtube.com/watch?v=1fiGVZAHJXE"
"여성",50,"임영웅","London Boy","Polaroid","https://musicmeta-phinf.pstatic.net/album/008/332/8332476.jpg?type=r480Fll","https://www.youtube.com/watch?v=TMfvkhkALbU"
"여성",50,"인순이","밤이면 밤마다","골든앨범","https://musicmeta-phinf.pstatic.net/album/000/542/542897.jpg?type=r480Fll","https://www.youtube.com/watch?v=RvfiuLlSJEI"
"여성",50,"인순이","아버지","인순이","https://musicmeta-phinf.pstatic.net/album/000/156/156339.jpg?type=r480Fll","https://www.youtube.com/watch?v=Zpm2Xdnmf8E"
"여성",50,"소찬휘","현명한 선택","Then To Now","https://musicmeta-phinf.pstatic.net/album/000/001/1403.jpg?type=r480Fll","https://www.youtube.com/watch?v=0VCHxbYWjmM"
"여성",50,"신승훈","미소속에 비친 그대","미소속에 비친 그대","https://musicmeta-phinf.pstatic.net/album/000/000/102.jpg?type=r480Fll","https://www.youtube.com/watch?v=-EYdvz0HZC4"
"여성",50,"김민종","착한 사랑","愛 (애)","https://musicmeta-phinf.pstatic.net/album/000/000/87.jpg?type=r480Fll","https://www.youtube.com/watch?v=Z8W0VPTgg3Q"
"여성",50,"이승철","그런 사람 또 없습니다","10th Mutopia - 사랑 참 어렵다","https://musicmeta-phinf.pstatic.net/album/000/161/161710.jpg?type=r480Fll","https://www.youtube.com/watch?v=aT_qcT69vug"
"여성",50,"박상철","무조건","무조건","https://musicmeta-phinf.pstatic.net/album/000/032/32099.jpg?type=r480Fll","https://www.youtube.com/watch?v=hhmYe6EEc5M"
"여성",50,"박미경","이유같지 않은 이유","이유같지 않은 이유","https://musicmeta-phinf.pstatic.net/album/000/001/1500.jpg?type=r480Fll","https://www.youtube.com/watch?v=RVtL9pLRmk4"
"여성",50,"윤상","가려진 시간 사이로","PART I","https://musicmeta-phinf.pstatic.net/album/000/000/481.jpg?type=r480Fll","https://www.youtube.com/watch?v=_2Ww-2Nd3sU"
"여성",50,"박미경","이브의 경고","Jungle New Style","https://musicmeta-phinf.pstatic.net/album/000/001/1498.jpg?type=r480Fll","https://www.youtube.com/watch?v=IsvhRu0Jo7I"
"여성",50,"이승철","서쪽 하늘","청연 OST (靑燕 Blue Swallow)","https://musicmeta-phinf.pstatic.net/album/000/035/35875.jpg?type=r480Fll","https://www.youtube.com/watch?v=R05FtOb5Hz8"
"여성",50,"전영록","사랑은 연필로 쓰세요","'83 사랑은 연필로 쓰세요","https://musicmeta-phinf.pstatic.net/album/000/027/27501.jpg?type=r480Fll","https://www.youtube.com/watch?v=HFaO3rCHsgc"
"여성",50,"전영록","저녁놀","'88 추억","https://musicmeta-phinf.pstatic.net/album/000/063/63261.jpg?type=r480Fll","https://www.youtube.com/watch?v=pY0FxkUmO5U"
"여성",50,"조용필","이젠 그랬으면 좋겠네","추억속의 재회","https://musicmeta-phinf.pstatic.net/album/000/000/528.jpg?type=r480Fll","https://www.youtube.com/watch?v=CFWbZg14rKw"
"여성",50,"푸른하늘","눈물나는 날에는","2집 푸른하늘","https://musicmeta-phinf.pstatic.net/album/000/002/2129.jpg?type=r480Fll","https://www.youtube.com/watch?v=m9Wc39NWqf8"
"여성",50,"박미경","기억속의 먼 그대에게","아담의 심리","https://musicmeta-phinf.pstatic.net/album/000/001/1499.jpg?type=r480Fll","https://www.youtube.com/watch?v=zce8_LaIz1w"
