순위,곡명,아티스트,앨범
71,TOMBOY,혁오 (HYUKOH),23
72,당신과는 천천히,장범준,장범준 3집
73,고백,장범준,첫 번째 '고백'
74,나에게로 떠나는 여행,버즈,Buzz Effect
75,겨울을 걷는다,윤딴딴,반오십
76,등대,하현상,Calibrate
77,고백,10CM,두 번째 '고백'
78,PSYCHO LOVE,Zior Park,PSYCHO LOVE
79,꽃길만 걷게 해줄게,데이브레이크 (DAYBREAK),WITH
80,첫사랑,버스커 버스커,버스커 버스커 1집
81,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3
82,끝말잇기 (Feat. Skinny Brown),TOIL,TOAST
83,봄비,장범준,장범준 2집
84,이미 슬픈 사랑,야다 (Yada),Special Story
85,흰수염고래,YB (윤도현 밴드),흰수염고래
86,처음엔 사랑이란게,버스커 버스커,버스커 버스커 2집
87,사랑은 가슴이 시킨다,버즈,사랑은 가슴이 시킨다
88,비행운,문문 (MoonMoon),LIFE IS BEAUTY FULL
89,고백 (영화 '동감' X 츄 (이달의 소녀)),츄(Chuu),고백 (영화 '동감' X 츄 (이달의 소녀))
90,MAGIC!,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
91,Raise Up The Flag,권진아,The Flag
92,고백,뜨거운 감자,시소
93,제주도의 푸른 밤,태연 (TAEYEON),밴드 고맙삼다
94,나랑 아니면,검정치마,TEAM BABY
95,형 (兄),노라조,환골탈태 (換骨奪胎)
96,행복했던 날들이었다,DAY6 (데이식스),Remember Us : Youth Part 2
97,혜성,윤하 (YOUNHA),혜성
98,작은 날,PATEKO (파테코),어서와요 키카코 하우스 2
99,unlucky,아이유,Love poem
100,정말로 사랑한다면,버스커 버스커,버스커 버스커 1집 마무리
