분류,순위,가수명,인기곡,앨범이미지,유튜브링크
남자그룹,46,AJR,World's Smallest Violin,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/70/539/770539_20220729114418_500.jpg,https://www.youtube.com/watch?v=PEnJbjBuxnw
남자그룹,47,리쌍,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",https://cdnimg.melon.co.kr/cm/artistcrop/images/001/03/289/103289_500.jpg,https://www.youtube.com/watch?v=_TOu_1zVCUk
남자그룹,48,iKON,사랑을 했다 (LOVE SCENARIO),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/95/741/895741_20220503122338_500.jpg,https://www.youtube.com/watch?v=vecSVX1QYbQ
남자그룹,49,SUPER JUNIOR (슈퍼주니어),"쏘리 쏘리 (Sorry, Sorry)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/75/404/175404_20221207164523_500.jpg,https://www.youtube.com/watch?v=x6QA3m58DQw
남자그룹,50,god,촛불하나,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/00/007/100007_500.jpg,https://www.youtube.com/watch?v=h_DnVzMrkkg
여자그룹,1,IVE (아이브),Kitsch,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/55/146/3055146_20230410142647_500.jpg,https://www.youtube.com/watch?v=pG6iaOMV46I
여자그룹,2,NewJeans,Ditto,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/14/174/3114174_20230102131651_500.jpg,https://www.youtube.com/watch?v=Km71Rr9K-Bw
여자그룹,3,NMIXX,Love Me Like This,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/70/786/3070786_20230306132000_500.jpg,https://www.youtube.com/watch?v=EDnwWcFpObo
여자그룹,4,LE SSERAFIM (르세라핌),ANTIFRAGILE,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/92/950/3092950_20221017104102_500.jpg,https://www.youtube.com/watch?v=p_XdZdg9oGc
여자그룹,5,STAYC(스테이씨),Teddy Bear,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/290/2899290_20230213180200_500.jpg,https://www.youtube.com/watch?v=SxHmoifp0oQ
여자그룹,6,BLACKPINK,Shut Down,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/169/995169_20220915145817_500.jpg,https://www.youtube.com/watch?v=POe9SOEKotk
여자그룹,7,(여자)아이들,Nxde,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/37/482/2137482_20221017115456_500.jpg,https://www.youtube.com/watch?v=fCO7f0SmrDc
여자그룹,8,Kep1er (케플러),WA DA DA,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/58/246/3058246_20230410152240_500.jpg,https://www.youtube.com/watch?v=n0j5NPptyM0
여자그룹,9,FIFTY FIFTY,Cupid,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/56/910/3156910_20230224150717_500.jpg,https://www.youtube.com/watch?v=Qc7_zRjH808
여자그룹,10,aespa,도깨비불 (Illusion),https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/555/2899555_20220704103124_500.jpg,https://www.youtube.com/watch?v=fPpbfQiisA0
여자그룹,11,Apink (에이핑크),D N D,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/34/360/534360_20230405135138_500.jpg,https://www.youtube.com/watch?v=w8Rhc9WdDjk
여자그룹,12,TWICE (트와이스),SET ME FREE,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/05/701/905701_20230221114319_500.jpg,https://www.youtube.com/watch?v=H5ucjic-fwQ
여자그룹,13,Red Velvet (레드벨벳),Feel My Rhythm,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/80/066/780066_20221124112410_500.jpg,https://www.youtube.com/watch?v=R9At2ICm4LQ
여자그룹,14,다비치,팡파레,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/36/815/236815_20220516163041_500.jpg,https://www.youtube.com/watch?v=BtPHw6YLMN0
여자그룹,15,WSG워너비 (가야G),결국엔 너에게 닿아서,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/10/856/3110856_20230317160308_500.jpg,https://www.youtube.com/watch?v=8BK3Rn3s_oY
여자그룹,16,주주 시크릿,밤이 무서워요 (Lonely Night),https://cdnimg.melon.co.kr/cm2/artistcrop/images/032/32/687/3232687_20230324113202_500.jpg,https://www.youtube.com/watch?v=IzOjUXa-nFA
여자그룹,17,IZ*ONE (아이즈원),Panorama,https://cdnimg.melon.co.kr/cm2/artistcrop/images/023/98/653/2398653_20201207160543_500.jpg,https://www.youtube.com/watch?v=-6zExiuIotU
여자그룹,18,오마이걸 (OH MY GIRL),Dun Dun Dance,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/57/994/857994_20220328114359_500.jpg,https://www.youtube.com/watch?v=HzOjwL7IP_o
여자그룹,19,소녀시대 (GIRLS' GENERATION),FOREVER 1,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/28/069/228069_20220803121250_500.jpg,https://www.youtube.com/watch?v=Qpf26PtBXgo
여자그룹,20,ITZY (있지),SNEAKERS,https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/22/030/2622030_20221122140012_500.jpg,https://www.youtube.com/watch?v=QP05_Tcjfzs
여자그룹,21,여자친구 (GFRIEND),오늘부터 우리는 (Me Gustas Tu),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/28/478/828478_20201109141141_500.jpg,https://www.youtube.com/watch?v=YYHyAIFG3iI
여자그룹,22,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom),https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/64/111/3064111_20230103113235_500.jpg,https://www.youtube.com/watch?v=vfUAckewh_8
여자그룹,23,경서예지,다정히 내 이름을 부르면,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/63/470/2863470_20210723113733_500.jpg,https://www.youtube.com/watch?v=b_6EfFZyBxY
여자그룹,24,마마무 (Mamamoo),Decalcomanie (데칼코마니),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/50/053/750053_20221011160255_500.jpg,https://www.youtube.com/watch?v=y2OFPvYxZuY
여자그룹,25,카라,WHEN I MOVE,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/22/128/222128_20221129142048_500.jpg,https://www.youtube.com/watch?v=is-rjsfoYtY
여자그룹,26,프로미스나인,DM,https://cdnimg.melon.co.kr/cm2/artistcrop/images/020/19/210/2019210_20220819162113_500.jpg,https://www.youtube.com/watch?v=4gXmClk8rKI
여자그룹,27,티아라,TTL (Time To Love),https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/12/000/412000_20211115165044_500.jpg,https://www.youtube.com/watch?v=AmdgIK8-raM
여자그룹,28,마마무+,GGBB,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/23/953/3123953_20230330120852_500.jpg,https://www.youtube.com/watch?v=I4HWnYSiRtE
여자그룹,29,2NE1,I Don't Care,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/06/712/406712_500.jpg,https://www.youtube.com/watch?v=4MgAxMO1KD0
여자그룹,30,Billlie (빌리),EUNOIA,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/48/993/3048993_20230328104525_500.jpg,https://www.youtube.com/watch?v=MVjQIQGqNFM
여자그룹,31,브레이브걸스,롤린 (Rollin'),https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/31/700/531700_20220310165052_500.jpg,https://www.youtube.com/watch?v=PC2UEz2t08Q
여자그룹,32,씨야,사랑의 인사,https://cdnimg.melon.co.kr/cm/artistcrop/images/001/81/679/181679_500.jpg,https://www.youtube.com/watch?v=3gXL0puJ3I8
여자그룹,33,tripleS (트리플에스),Rising,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/37/294/3137294_20230213153213_500.jpg,https://www.youtube.com/watch?v=3TQd2ahq6oU
여자그룹,34,씨스타,SHAKE IT,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/73/181/473181_500.jpg,https://www.youtube.com/watch?v=x9-TIy7WPQI
여자그룹,35,f(x),NU 예삐오 (NU ABO),https://cdnimg.melon.co.kr/cm/artistcrop/images/004/28/501/428501_500.jpg,https://www.youtube.com/watch?v=E8ZrPFMr_nY
여자그룹,36,우주소녀,이루리,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/43/959/943959_20220705122108_500.jpg,https://www.youtube.com/watch?v=2Q9G6R2hKIQ
여자그룹,37,브라운아이드걸스,Abracadabra,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/81/694/181694_500.jpg,https://www.youtube.com/watch?v=gKZ2BsYK3VM
여자그룹,38,원더걸스,Tell me (Sampling From 'Two Of Hearts'),https://cdnimg.melon.co.kr/cm/artistcrop/images/002/17/764/217764_500.jpg,https://www.youtube.com/watch?v=_qZMrUcLbUQ
여자그룹,39,VIVIZ (비비지),PULL UP,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/70/177/2970177_20230131094219_500.jpg,https://www.youtube.com/watch?v=ROGJzLUzIIs
여자그룹,40,러블리즈,Ah-Choo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/89/331/789331_20200901155939_500.jpg,https://www.youtube.com/watch?v=DEd8ED2FdAg
여자그룹,41,빅마마,연,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/05/803/105803_20220210131707_500.jpg,https://www.youtube.com/watch?v=gwcN-NQknx8
여자그룹,42,걸스데이,Something,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/82/762/482762_500.jpg,https://www.youtube.com/watch?v=psXpwLgBDW8
여자그룹,43,첫사랑(CSR),빛을 따라서 (Shining Bright),https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/14/543/3114543_20230329103918_500.jpg,https://www.youtube.com/watch?v=si9ErEUkSh4
여자그룹,44,WSG워너비(4FIRE),보고싶었어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/10/857/3110857_20221216103350_500.jpg,https://www.youtube.com/watch?v=IAtzzjBKU1c
여자그룹,45,GOT the beat,Step Back,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/63/272/3063272_20230113110940_500.jpg,https://www.youtube.com/watch?v=uBY1AoiF5Vo
여자그룹,46,1CHU (원츄),OASIS,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/10/544/3110544_20230410105936_500.jpg,https://www.youtube.com/watch?v=d_9z4pJmBJ0
여자그룹,47,가비엔제이,해바라기 (FEAT. 써니사이드 MJ),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/74/997/174997_20210806103821_500.jpg,https://www.youtube.com/watch?v=xpHJnmp3Lyw
여자그룹,48,아이오아이 (I.O.I),벚꽃이 지면,https://cdnimg.melon.co.kr/cm/artistcrop/images/009/60/251/960251_500.jpg,https://www.youtube.com/watch?v=FwDSKH-Vj2w
여자그룹,49,미쓰에이,Bad Girl Good Girl,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/81/481/481481_500.jpg,https://www.youtube.com/watch?v=8TeeJvcBdLA
여자그룹,50,드림캐쳐,REASON,https://cdnimg.melon.co.kr/cm2/artistcrop/images/012/84/664/1284664_20221011161026_500.jpg,https://www.youtube.com/watch?v=G3fUZUh1LBs
남자솔로,1,임영웅,사랑은 늘 도망가,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/94/944/994944_20221115161408_500.jpg,https://www.youtube.com/watch?v=LKQ-18LoFQk
남자솔로,2,Charlie Puth,I Don't Think That I Like Her,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/38/654/838654_20230331115239_500.jpg,https://www.youtube.com/watch?v=9voN0gkdlS4
남자솔로,3,SUGA,사람 Pt.2 (feat. 아이유),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/25/988/725988_20230407102939_500.jpg,https://www.youtube.com/watch?v=uVD-YgzDzyY
남자솔로,4,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM),https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/44/750/2744750_20230228111024_500.jpg,https://www.youtube.com/watch?v=DYrY1E4-9NI
남자솔로,5,지민,Like Crazy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/25/985/725985_20230324113918_500.jpg,https://www.youtube.com/watch?v=nOI67IDlNMQ
남자솔로,6,10CM,그라데이션,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/68/244/468244_20220930100210_500.jpg,https://www.youtube.com/watch?v=VQZXXciZb_c
남자솔로,7,Justin Bieber,STAY,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/20/621/420621_20220429145301_500.jpg,https://www.youtube.com/watch?v=Ec7TN_11az8
남자솔로,8,Zior Park,CHRISTIAN,https://cdnimg.melon.co.kr/cm2/artistcrop/images/020/85/020/2085020_20221114151828_500.jpg,https://www.youtube.com/watch?v=Dqlr8EDunCM
남자솔로,9,박재범,GANADARA (Feat. 아이유),https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/43/420/443420_20230210160014_500.jpg,https://www.youtube.com/watch?v=gFb1TftvdoM
남자솔로,10,주호,내가 아니라도,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/83/631/683631_20221202144750_500.jpg,https://www.youtube.com/watch?v=lAq9l8o6UXU
남자솔로,11,성시경,너의 모든 순간,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/03/305/3305_20210521133532_500.jpg,https://www.youtube.com/watch?v=i2aRMXZR1k0
남자솔로,12,BE'O (비오),LOVE me,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/58/756/2758756_20220929141455_500.jpg,https://www.youtube.com/watch?v=G0ofW1OOTrU
남자솔로,13,릴러말즈 (Leellamarz),Trip (Feat. Hannah),https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/67/229/967229_20210805170241_500.jpg,https://www.youtube.com/watch?v=K7o4nYV0ns4
남자솔로,14,코드 쿤스트 (CODE KUNST),"Jumper (Feat. 개코, MINO)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/24/086/724086_20230316113059_500.jpg,https://www.youtube.com/watch?v=2C3A2GrfOeM
남자솔로,15,영탁,찐이야,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/53/762/753762_20220704142616_500.jpg,https://www.youtube.com/watch?v=dNUncvc6mcM
남자솔로,16,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/52/425/752425_20220614113654_500.jpg,https://www.youtube.com/watch?v=1q_t6RNuH8c
남자솔로,17,기리보이,KISS ME (Feat. BIG Naughty),https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/85/492/585492_20220520155031_500.jpg,https://www.youtube.com/watch?v=W5COX-2ajDU
남자솔로,18,정동원,여백,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/49/421/2749421_20221201134335_500.jpg,https://www.youtube.com/watch?v=rlRrWB8wB1I
남자솔로,19,우디 (Woody),Nostalgia,https://cdnimg.melon.co.kr/cm/artistcrop/images/006/73/033/673033_500.jpg,https://www.youtube.com/watch?v=FaIqFOU_uUw
남자솔로,20,김호중,그중에 그대를 만나,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/20/018/720018_20220727122202_500.jpg,https://www.youtube.com/watch?v=Re-na85d8l0
남자솔로,21,죠지,Boat,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/90/830/790830_20230406144114_500.jpg,https://www.youtube.com/watch?v=lAx7C_uUhFo
남자솔로,22,마크 (MARK),Golden Hour,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/65/986/965986_20230120112221_500.jpg,https://www.youtube.com/watch?v=EUsUqd20c_k
남자솔로,23,싸이 (PSY),That That (prod. & feat. SUGA of BTS),https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/03/865/3865_20220429113018_500.jpg,https://www.youtube.com/watch?v=8dJyRm2jJ-U
남자솔로,24,지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/02/056/602056_20220719141051_500.jpg,https://www.youtube.com/watch?v=azaZt7eccnc
