아티스트,곡명,앨범명,앨범이미지,유튜브링크
Shirley Horn,A Time For Love,But Beautiful: The Best Of Shirley Horn,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/967/677/79967677_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bn3ZrIogQjM
이루마,Spring Waltz,Spring Waltz,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/054/298/82054298_1621493426235_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nL6bElMx42o
Andreas Ottensamer & Schumann Quartett & Gunars Upatnieks,"Mendelssohn : Lieder ohne Worte, Op. 62 - No. 6 Allegretto grazioso 'Fruhlingslied' (Arr. Ottensamer for Clarinet and Strings)",Blue Hour : Mendelssohn Edition,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/094/699/82094699_1623811666615_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XromXYMGV00
Hisaishi Joe,Spring,히사이시 조 에센셜 앨범 (Dream Songs),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/367/347/81367347_1582174810471_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_7jTnc-LUg0
이루마,If I Could See You Again,If I Could See You Again,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/097/352/82097352_1623911726301_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3ILFt0QbeMM
Daniel Hope & Marcus Roberts Trio & Zurcher Kammerorchester,"Gershwin : Gershwin Song Suite - I. Fascinating Rhythm (Ver. for Solo Violin, Jazz Trio and String Orchestra)",America,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/515/623/82515623_1643858146805_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_DRByZjbjqg
윤한 (Yoonhan),Timeless Moment,Sleeping Science : THE TIME,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/315/795/82315795_1633395626539_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WZUaOmdHdHs
Jean-Yves Thibaudet,Elgar : Salut d'amour (Arr. Ciccolini for Piano),Elgar : Salut d'amour (Arr. Ciccolini for Piano),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/213/042/82213042_1629876349731_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=G_ygUwqE2FE
Daniel Hope & Zurcher Kammerorchester,Bernstein : West Side Story Suite - IV. Somewhere (Ver. for Solo Violin and String Orchestra),America,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/515/623/82515623_1643858146805_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=daISvq9CrP4
Peter Gregson,Mirror,Mirror,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/563/756/82563756_1646191227916_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VmnvNC1K69k
조성진,"Liszt : Consolations, S.172 - No. 3 Lento placido in D Flat Major","Liszt : Consolations, S. 172 : No. 3 Lento placido in D Flat Major (Musical Moments)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/018/297/82018297_1619587526232_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=a1E26wwblwA
Daniil Trifonov & Gidon Kremer,"Rachmaninov : Preghiera (Arr. By Fritz Kreisler From Piano Concerto No. 2 In C Minor, Op. 18, 2nd Movement)",Preghiera - Rachmaninov Piano Trios,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/927/217/80927217_1569999327371_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bJWJfsrfCEk
Orpheus Chamber Orchestra,"Tchaikovsky : Serenade for String Orchestra in C Major, Op. 48, TH 48 - IIa. Walzer : Moderato (Tempo di valse)","Grieg : Holberg Suite, Two Elegiac Melodies； Tchaikovsky : Serenade for Strings","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/195/821/82195821_1629249926894_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=G_udv5o47f8
Vikingur Olafsson,"Rameau, Olafsson : 라모, 올라프손 : The Arts and the Hours (예술과 시간)",드뷔시 - 라모 (Debussy - Rameau),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/401/827/81401827_1585203205164_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qTwqBVt2Clw
조성진,"Mozart : Piano Sonata No. 12 In F Major, K. 332 - 2. Adagio","Mozart : Piano Concerto No. 20, K. 466； Piano Sonatas, K. 281 & 332","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/126/876/81126876_1542350954877_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BzcEuBtWRjU
Daniel Barenboim,"Mendelssohn : Lieder ohne Worte, Op. 67 - No. 2. Allegro leggiero in F Sharp Minor, MWV U 145 - 'Lost Illusions'",100 Piano Masterworks,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/969/498/80969498_1500630158746_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kWhvW_3lwSM
백건우,Brahms : 6 Piano Pieces No.2 In A Major Op.118 - Intermezzo (브람스 : 6개의 피아노 소품 2번 가장조 작품번호 118 - 간주곡),Brahms Intermezzi,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/281/717/80281717_1327970760590_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=myLSZutC1dE
Jean-Yves Thibaudet,Wild : 7 Virtuoso Etudes (after G. Gershwin) - 4. Embraceable You,Carte Blanche,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/253/603/82253603_1631174737691_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QYoY8PCdYmU
Daniel Hope & Zurcher Kammerorchester & Jane Berthe,Massenet : Thais - Meditation (Arr. Knoth),Belle Epoque,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/355/739/81355739_1580981412279_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YDahQtHk4Hc
Nadine Sierra & Orchestra Sinfonica Nazionale della Rai & Riccardo Frizza,"Gounod : Romeo et Juliette, CG 9 / Act 1 - Ah, je veux vivre","Gounod : Romeo et Juliette, CG 9 / Act 1 : Ah, je veux vivre","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/475/231/82475231_1641964540103_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TFz0_weH_qs
조성진 & Gianandrea Noseda & London Symphony Orchestra,"Chopin : Piano Concerto No. 2 in F Minor, Op. 21 - II. Larghetto",Chopin : Piano Concerto No. 2； Scherzi,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/214/529/82214529_1629945928719_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sN1JnyCQvfw
Clinton Kane,I GUESS I'M IN LOVE,MAYBE SOMEDAY IT'LL ALL BE OK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/197/575/82197575_1658452132256_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=y13zUs0nbJ4
John K,A LOT,A LOT,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/471/735/82471735_1641744640547_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D2uMJRNlRLU
Doja Cat,Kiss Me More (Feat. SZA),Kiss Me More,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/987/341/81987341_1617867638083_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0EVVKs6DQLo
