아티스트,곡명,앨범명,앨범이미지,유튜브링크
Bill Evans,How Deep Is The Ocean (Live At Oil Can Harry's / 1975),How Deep Is The Ocean (Live At Oil Can Harry's / 1975),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/083/892/82083892_1623208229995_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PilRq6z11KE
Eric Reed,The Dancing Monk,The Dancing Monk,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/054/593/82054593_1621906115187_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=b8E4uq5Xi8g
George Cables,My Muse,My Muse,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/991/173/81991173_1618381430180_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KroOEFqg5Lc
Ian Cleaver & Gideon Tazelaar,Rollo II (Feat. Benjamin Herman & Jorge Rossy),Rollo II,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/929/928/81929928_1614819370205_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=submbTyJFyg
Herbie Hancock,Dolphin Dance,Maiden Voyage,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/019/816/15019816_1409114389566_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iB2Z2DY17yQ
Cannonball Adderley,Love For Sale,Somethin' Else (Rudy Van Gelder Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/043/263/996/43263996_1413525837551_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4tSYXpq2kW0
Harvie S & Kenny Barron,Autumn Nocturne,Witchcraft,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/733/508/82733508_1654739308197_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Fe00g-wYosM
Brian Charette,High Ball,High Ball,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/725/293/82725293_1654191336024_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9j1Gc0dXAxk
Kenny Garrett,It's Time to Come Home,Sounds from the Ancestors,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/066/766/82066766_1622142044966_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rAUrNahEg7o
Disney Peaceful Guitar & Disney,So This Is Love (디즈니 '신데렐라' OST),디즈니 OST로 듣는 사랑 노래,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/453/719/81453719_1590550508453_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hdbrc6nl7OM
헨 (HEN),일종의 고백 (Female Ver.) (Inst.),나의 해방일지 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/714/357/82714357_1653640538544_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1rGr52AWxIk
김지수 & 이이삭,Our Hometown Jeju,우리들의 블루스 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/707/507/82707507_1653380238689_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YtBZcBMlJP4
CHEEZE (치즈),어떨까 넌 (Guitar Ver.),수상한 파트너 OST (SBS 수목드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/965/237/80965237_1499836131756_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Yzt4ahnGlSg
NieN,가보자 (Guitar Ver.),스물다섯 스물하나 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/619/444/82619444_1648805778571_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=47QrGmp-H0I
버스커 버스커 (Busker Busker),기다려주세요,버스커 버스커 1집 마무리,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/298/524/80298524_1340183288088_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BcoSqJSTqbE
오준석(Squar),Sorry - Guitar Ver. (Feat. Choi Kum),네이버 웹툰 '남과 여' OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/743/214/80743214_1447922039630_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=I_7FZ3ZyY0A
이병우,다시 출발,우주기타,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/824/876/80824876_1464335069047_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lDKKsNyi26Q
정성하,Sunset In Paris,Monologue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/428/269/80428269_1399015311478_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RPlj673A7H0
Ratzkowski & Thomsen Guitar Duo,Joplin : The Entertainer,Ragtime,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/094/841/81094841_1534590639084_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cAFvRrG5n4k
Peter Groesdonk,As a Child,Two,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/548/433/82548433_1646041417048_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-oX0JPs0eSU
Julian Lage,Etude,Squint,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/083/746/82083746_1623204328120_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bFRVK_1o2cU
George Benson,Tenderly,Guitar Man (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/019/011/82019011_1619595333858_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=p8fsj7oBrFo
김지수,Somewhere,우리들의 블루스 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/707/507/82707507_1653380238689_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qXiBLZ_zQZ8
Disney Peaceful Guitar,You've Got a Friend in Me,Disney Guitar : Chill,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/469/354/81469354_1591761921038_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-pL_liOKnlI
Various Artists,아직도 그런가봐 (Guitar Ver.)  ,연애시대 쏭북,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/820/139/42820139_1323399153831_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WTPtGgU9dWM
Goran Sollscher,Hey Jude,"Here, There And Everywhere: Goran Sollscher plays The Beatles","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/288/819/80288819_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QzYFh53qTZg
이창희 & 여하경,SEASON SUN FAMILY GUITAR,태양의 계절 OST (KBS2 일일드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/407/238/81407238_1585810072830_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MUchDbvXsFM
이루마,Chaconne 2 (with Guitar),From The Yellow Room,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/027/742/15027742_1404874653074_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8s8O8UKbB40
샘김 (Sam Kim),COOKING (Guitar Ver.),신혼일기 X 안테나 (Prod. by 유희열),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/921/111/80921111_1486712756457_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DOlRZKHyMFQ
백아연,키다리아저씨 (Guitar Ver.),청담동 앨리스 OST VOL.2 (SBS 주말드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/342/012/80342012_1359529096635_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xK8Lgo13c6Q
박성진 & 최민창,Jw Guitar,학교 2021 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/485/944/82485944_1642658443708_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AsiGEtBvMmU
Various Artists,보내지 못한 마음 (Guitar Ver.),연애시대 쏭북,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/820/139/42820139_1323399153831_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=putbuQKJXfM
조영근,I Think I - Guitar Instrument,풀하우스 OST (KBS 수목드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/018/763/796/18763796_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kpnJWrfQ5Bs
Disney Peaceful Guitar,How Far I'll Go,Disney Guitar : Motivation,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/498/399/81498399_1594181127587_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VrrA2FVZ8aY
이루마,Liebestraum (사랑의 꿈),구필수는 없다 OST Part 5,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/697/175/82697175_1652941715035_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SV5jc49bW5o
Tobias Wilden(토비아스 빌덴),Discoveries,Minute Maps,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/986/489/80986489_1505123682792_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=U8SJxoRDW5s
Kevin Kern,Fantasia's Lullaby,Embracing The Wind,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/043/950/15043950_1409638033303_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8cMOuRPTejQ
