장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_R&B／Soul,16,BIG Naughty (서동현),"낭만교향곡 (Feat. CHANGMO, 박재범)",낭만,https://cdnimg.melon.co.kr/cm2/album/images/109/79/115/10979115_20220609103712_500.jpg,https://www.youtube.com/watch?v=4_3udKyqMd4
국내_R&B／Soul,17,주시크 (Joosiq),너를 생각해,너를 생각해,https://cdnimg.melon.co.kr/cm2/album/images/107/16/399/10716399_20210916173429_500.jpg,https://www.youtube.com/watch?v=zeI1RXSK1YY
국내_R&B／Soul,18,백예린 (Yerin Baek),Square (2017),Every letter I sent you.,https://cdnimg.melon.co.kr/cm2/album/images/103/62/776/10362776_20191210144641_500.jpg,https://www.youtube.com/watch?v=4iFP_wd6QU8
국내_R&B／Soul,19,코드 쿤스트 (CODE KUNST),"55 (Feat. 백예린, 웬디)",Archive 01,https://cdnimg.melon.co.kr/cm2/album/images/111/97/900/11197900_20230307163807_500.jpg,https://www.youtube.com/watch?v=xHnuscnWaRk
국내_R&B／Soul,20,헤이즈 (Heize),헤픈 우연,HAPPEN,https://cdnimg.melon.co.kr/cm2/album/images/106/11/845/10611845_20210520170350_500.jpg,https://www.youtube.com/watch?v=AJPLgrfBiBo
국내_R&B／Soul,21,폴킴,비,비,https://cdnimg.melon.co.kr/cm/album/images/026/92/501/2692501_500.jpg,https://www.youtube.com/watch?v=9jFZdu0zTEA
국내_R&B／Soul,22,김승민,"하나,둘 (Feat. 펀치 (Punch))","하나,둘 (Feat. 펀치 (Punch)",https://cdnimg.melon.co.kr/cm2/album/images/106/19/981/10619981_20210604120500_500.jpg,https://www.youtube.com/watch?v=jFM6qpwZ6jc
국내_R&B／Soul,23,코드 쿤스트 (CODE KUNST),CIRCLE (Feat. Crush),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg,https://www.youtube.com/watch?v=ZPpie1yjKvA
국내_R&B／Soul,24,박재범,"All I Wanna Do (K) (Feat. Hoody, Loco)",EVERYTHING YOU WANTED,https://cdnimg.melon.co.kr/cm/album/images/100/08/163/10008163_500.jpg,https://www.youtube.com/watch?v=ixkBzA94y0M
국내_R&B／Soul,25,부석순 (SEVENTEEN),7시에 들어줘 (Feat. Peder Elias),부석순 1st Single Album 'SECOND WIND',https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg,https://www.youtube.com/watch?v=_HT5-1gRDjQ
국내_R&B／Soul,26,죠지,Boat,Boat,https://cdnimg.melon.co.kr/cm/album/images/101/11/920/10111920_500.jpg,https://www.youtube.com/watch?v=OWL1RNX7p90
국내_R&B／Soul,27,백예린 (Yerin Baek),Bye bye my blue,Bye bye my blue,https://cdnimg.melon.co.kr/cm/album/images/026/92/170/2692170_500.jpg,https://www.youtube.com/watch?v=47sVEAPYHUU
국내_R&B／Soul,28,주시크 (Joosiq),아무래도 난,아무래도 난,https://cdnimg.melon.co.kr/cm2/album/images/109/03/658/10903658_20220329185034_500.jpg,https://www.youtube.com/watch?v=LhzUBq_rhYY
국내_R&B／Soul,29,"소유 (SOYOU), 정기고",썸 (Feat. 릴보이 Of 긱스),썸,https://cdnimg.melon.co.kr/cm/album/images/022/30/890/2230890_500.jpg,https://www.youtube.com/watch?v=p_1ypvwxiSw
국내_R&B／Soul,30,NewJeans,Hurt,NewJeans 1st EP 'New Jeans',https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg,https://www.youtube.com/watch?v=tVIXY14aJms
국내_R&B／Soul,31,박재범,Yesterday,Yesterday,https://cdnimg.melon.co.kr/cm2/album/images/111/72/485/11172485_20230210171815_500.jpg,https://www.youtube.com/watch?v=ATuP6CE0vxM
국내_R&B／Soul,32,박재범,Love Is Ugly (Feat. 화사),Yesterday,https://cdnimg.melon.co.kr/cm2/album/images/111/72/485/11172485_20230210171815_500.jpg,https://www.youtube.com/watch?v=iOAEKGYFSGA
국내_R&B／Soul,33,코드 쿤스트 (CODE KUNST),HoMe boy (Feat. 이하이),Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg,https://www.youtube.com/watch?v=Pm40cGKeQUA
국내_R&B／Soul,34,LE SSERAFIM (르세라핌),Impurities,ANTIFRAGILE,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg,https://www.youtube.com/watch?v=Lxus2RPnqTw
국내_R&B／Soul,35,송이한,밝게 빛나는 별이 되어 비춰줄게,밝게 빛나는 별이 되어 비춰줄게,https://cdnimg.melon.co.kr/cm2/album/images/105/40/298/10540298_20201229150823_500.jpg,https://www.youtube.com/watch?v=5YQww_vbNTU
국내_R&B／Soul,36,양다일,미안해,inside,https://cdnimg.melon.co.kr/cm/album/images/101/23/639/10123639_500.jpg,https://www.youtube.com/watch?v=1icPJAhI2TA
국내_R&B／Soul,37,Crush,잊어버리지마 (Feat. 태연),잊어버리지마,https://cdnimg.melon.co.kr/cm/album/images/026/63/424/2663424_500.jpg,https://www.youtube.com/watch?v=TcytstV1_XE
국내_R&B／Soul,38,코드 쿤스트 (CODE KUNST),"Page 1 (Feat. 백예린, pH-1)",Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg,https://www.youtube.com/watch?v=y1EBa2xqVyg
국내_R&B／Soul,39,나얼,바람기억,Principle Of My Soul,https://cdnimg.melon.co.kr/cm/album/images/021/50/856/2150856_500.jpg,https://www.youtube.com/watch?v=f5ShDNOqq1E
