장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_포크／블루스,13,볼빨간사춘기,우주를 줄게,Full Album RED PLANET,https://cdnimg.melon.co.kr/cm/album/images/027/07/131/2707131_500.jpg,https://www.youtube.com/watch?v=8DeV-Qax6as
국내_포크／블루스,14,10CM,사랑은 은하수 다방에서,1.0,https://cdnimg.melon.co.kr/cm/album/images/011/66/956/1166956_500.jpg,https://www.youtube.com/watch?v=75aRJ4LlHoU
국내_포크／블루스,15,볼빨간사춘기,좋다고 말해,Full Album RED PLANET 'Hidden Track',https://cdnimg.melon.co.kr/cm/album/images/100/24/816/10024816_500.jpg,https://www.youtube.com/watch?v=y5MAgMVwfFs
국내_포크／블루스,16,볼빨간사춘기,나비와 고양이 (feat.백현 (BAEKHYUN)),사춘기집Ⅱ 꽃 본 나비,https://cdnimg.melon.co.kr/cm2/album/images/104/27/559/10427559_20200513160836_500.jpg,https://www.youtube.com/watch?v=L8UUYfe6-UA
국내_포크／블루스,17,10CM,스토커,3.0,https://cdnimg.melon.co.kr/cm/album/images/022/90/452/2290452_500.jpg,https://www.youtube.com/watch?v=x7l0kLFN6Oc
국내_포크／블루스,18,AKMU (악뮤),Give Love,PLAY,https://cdnimg.melon.co.kr/cm/album/images/022/49/127/2249127_500.jpg,https://www.youtube.com/watch?v=x2XX3cNW4K0
국내_포크／블루스,19,AKMU (악뮤),200%,PLAY,https://cdnimg.melon.co.kr/cm/album/images/022/49/127/2249127_500.jpg,https://www.youtube.com/watch?v=0Oi8jDMvd_w
국내_포크／블루스,20,정은지,너란 봄 (Feat. 하림),공간,https://cdnimg.melon.co.kr/cm/album/images/100/53/122/10053122_500.jpg,https://www.youtube.com/watch?v=PWDISJZr7Yc
국내_포크／블루스,21,"볼빨간사춘기, 스무살",남이 될 수 있을까,남이 될 수 있을까,https://cdnimg.melon.co.kr/cm/album/images/100/70/846/10070846_500.jpg,https://www.youtube.com/watch?v=Z1pGxkXyDvc
국내_포크／블루스,22,볼빨간사춘기,별 보러 갈래?,사춘기집Ⅰ 꽃기운,https://cdnimg.melon.co.kr/cm/album/images/102/68/898/10268898_500.jpg,https://www.youtube.com/watch?v=D7ufxoD4sKM
국내_포크／블루스,23,볼빨간사춘기,나만 안되는 연애,Full Album RED PLANET,https://cdnimg.melon.co.kr/cm/album/images/027/07/131/2707131_500.jpg,https://www.youtube.com/watch?v=iLlLLBuuvVU
국내_포크／블루스,24,최유리,숲,유영,https://cdnimg.melon.co.kr/cm2/album/images/110/36/283/11036283_20220823181214_500.jpg,https://www.youtube.com/watch?v=7ihLv8_Vd-4
국내_포크／블루스,25,볼빨간사춘기,Seoul,Seoul,https://cdnimg.melon.co.kr/cm2/album/images/109/26/502/10926502_20220420071020_500.jpg,https://www.youtube.com/watch?v=r_ALdsMbwqI
국내_포크／블루스,26,AKMU (악뮤),오랜 날 오랜 밤,사춘기 하 (思春記 下),https://cdnimg.melon.co.kr/cm/album/images/100/27/786/10027786_500.jpg,https://www.youtube.com/watch?v=wEQpfil0IYA
국내_포크／블루스,27,10CM,우리가 맞다는 대답을 할 거예요 (@leekangseung111),Remake 1.0,https://cdnimg.melon.co.kr/cm2/album/images/111/66/064/11166064_20230203163038_500.jpg,https://www.youtube.com/watch?v=C6ZGy0PX6f8
국내_포크／블루스,28,볼빨간사춘기,심술,Half Album RED ICKLE,https://cdnimg.melon.co.kr/cm/album/images/026/80/986/2680986_500.jpg,https://www.youtube.com/watch?v=olieJ1V6ulo
국내_포크／블루스,29,허회경,김철수 씨 이야기,김철수 씨 이야기,https://cdnimg.melon.co.kr/cm2/album/images/107/34/371/10734371_20211007150652_500.jpg,https://www.youtube.com/watch?v=nCYF4Ya-WcI
