성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
여성,30,NewJeans,Hype boy,NewJeans 1st EP 'New Jeans',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F007%2F795%2F7795016.jpg%3Ftype%3Dr204Fll%26v%3D20230316150014&type=os121_121,https://www.youtube.com/watch?v=11cta61wi0g
여성,40,지민,Like Crazy,FACE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F313%2F9313232.jpg%3Ftype%3Dr204Fll%26v%3D20230331134607&type=os121_121,https://www.youtube.com/watch?v=HALG3Ty52mY
여성,40,Charlie Puth,I Don't Think That I Like Her,CHARLIE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F006%2F958%2F6958691.jpg%3Ftype%3Dr204Fll%26v%3D20230227141311&type=os121_121,https://www.youtube.com/watch?v=9voN0gkdlS4
여성,40,NewJeans,Ditto,NewJeans 'OMG',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F500%2F8500274.jpg%3Ftype%3Dr204Fll%26v%3D20230327175600&type=os121_121,https://www.youtube.com/watch?v=Km71Rr9K-Bw
여성,40,Zior Park,CHRISTIAN,WHERE DOES SASQUATCH LIVE? PART 1,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F005%2F9005635.jpg%3Ftype%3Dr204Fll%26v%3D20230322120657&type=os121_121,https://www.youtube.com/watch?v=Dqlr8EDunCM
여성,40,STAYC(스테이씨),Teddy Bear,Teddy Bear,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F045d36ff%2F2534%2F4a45%2Fabd2%2Fbb063fa6c5e3%2F8830640.jpg%3Ftype%3Dr204Fll%26v%3D20230214180158&type=os121_121,https://www.youtube.com/watch?v=SxHmoifp0oQ
여성,40,부석순(SEVENTEEN),파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F835%2F8835837.jpg%3Ftype%3Dr204Fll%26v%3D20230327175605&type=os121_121,https://www.youtube.com/watch?v=mBXBOLG06Wc
여성,40,NCT DREAM,Candy,Candy - Winter Special Mini Album,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2Fb8064006%2F9433%2F4866%2F85d8%2F27d2d4d63fd0%2F8462508.jpg%3Ftype%3Dr204Fll%26v%3D20221216165133&type=os121_121,https://www.youtube.com/watch?v=zuoSn3ObMz4
여성,40,투모로우바이투게더,Sugar Rush Ride,이름의 장: TEMPTATION,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F755%2F8755887.jpg%3Ftype%3Dr204Fll%26v%3D20230327175615&type=os121_121,https://www.youtube.com/watch?v=P9tKTxbgdkk
여성,40,윤하,사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F007%2F434%2F7434553.jpg%3Ftype%3Dr204Fll%26v%3D20230109102326&type=os121_121,https://www.youtube.com/watch?v=BBdC1rl5sKY
