성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
남성,20,Wiz Khalifa,See You Again (Feat. Charlie Puth),분노의 질주 : 더 세븐 (Fast &amp; Furious 7) OST,https://musicmeta-phinf.pstatic.net/album/000/496/496794.jpg,https://www.youtube.com/watch?v=RgKAFK5djSk
남성,20,Justin Timberlake,Mirrors,Mirrors,https://musicmeta-phinf.pstatic.net/album/000/369/369475.jpg,https://www.youtube.com/watch?v=uuZE_IRwLNI
남성,20,Jason Derulo,Want To Want Me,Everything Is 4,https://musicmeta-phinf.pstatic.net/album/000/548/548957.jpg,https://www.youtube.com/watch?v=rClUOdS5Zyw
남성,20,Maroon 5,Girls Like You (Cardi B Version) (Feat. Cardi B),Red Pill Blues (Deluxe),https://musicmeta-phinf.pstatic.net/album/002/460/2460899.jpg,https://www.youtube.com/watch?v=aJOTlE1K90k
남성,20,Camila Cabello,Havana (Feat. Young Thug),Camila,https://musicmeta-phinf.pstatic.net/album/002/152/2152059.jpg,https://www.youtube.com/watch?v=BQ0mxQXmLsk
남성,20,Mark Ronson,Uptown Funk (Feat. Bruno Mars),Uptown Funk,https://musicmeta-phinf.pstatic.net/album/000/463/463777.jpg,https://www.youtube.com/watch?v=OPf0YbXqDm0
남성,20,Lil Nas X,Old Town Road (Remix) (Feat. Billy Ray Cyrus),7 EP,https://musicmeta-phinf.pstatic.net/album/003/072/3072061.jpg,https://www.youtube.com/watch?v=7ysFgElQtjI
남성,20,"Coldplay, 방탄소년단",My Universe,My Universe,https://musicmeta-phinf.pstatic.net/album/006/440/6440746.jpg,https://www.youtube.com/watch?v=3YqPKLZF_WU
남성,20,"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) (BTS Remix),Savage Love (Laxed - Siren Beat) [BTS Remix],https://musicmeta-phinf.pstatic.net/album/004/991/4991304.jpg,https://www.youtube.com/watch?v=8HjxqrZrZR4
남성,20,BLACKPINK,Kill This Love,KILL THIS LOVE,https://musicmeta-phinf.pstatic.net/album/002/984/2984057.jpg,https://www.youtube.com/watch?v=2S24-y0Ij3Y
남성,20,ASH ISLAND,멜로디,멜로디,https://musicmeta-phinf.pstatic.net/album/005/247/5247746.jpg,https://www.youtube.com/watch?v=NB8LX6A5BBM
남성,20,MC몽,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),FLOWER 9,https://musicmeta-phinf.pstatic.net/album/005/278/5278334.jpg,https://www.youtube.com/watch?v=7WnGWEFFPEM
남성,20,로제 (ROSÉ),On The Ground,R,https://musicmeta-phinf.pstatic.net/album/005/338/5338058.jpg,https://www.youtube.com/watch?v=i7AUMU-GDNg
남성,20,BLACKPINK,Lovesick Girls,THE ALBUM,https://musicmeta-phinf.pstatic.net/album/004/983/4983288.jpg,https://www.youtube.com/watch?v=dyRsYk0LyA8
남성,20,화사(Hwa Sa),마리아 (Maria),María,https://musicmeta-phinf.pstatic.net/album/004/614/4614746.jpg,https://www.youtube.com/watch?v=tDukIfFzX18
남성,20,TWICE(트와이스),The Feels,The Feels,https://musicmeta-phinf.pstatic.net/album/006/448/6448574.jpg,https://www.youtube.com/watch?v=f5_wn8mexmM
남성,20,이무진,신호등,신호등,https://musicmeta-phinf.pstatic.net/album/005/843/5843153.jpg,https://www.youtube.com/watch?v=SK6Sm2Ki9tI
남성,20,퍼플키스(PURPLE KISS),Ponzona,INTO VIOLET,https://musicmeta-phinf.pstatic.net/album/005/358/5358532.jpg,https://www.youtube.com/watch?v=8Lyf6PipuIg
남성,20,조정석,좋아좋아,슬기로운 의사생활 시즌2 OST Part 5,https://musicmeta-phinf.pstatic.net/album/006/182/6182897.jpg,https://www.youtube.com/watch?v=poiZpOXZXN8
남성,20,전소미,DUMB DUMB,DUMB DUMB,https://musicmeta-phinf.pstatic.net/album/006/254/6254892.jpg,https://www.youtube.com/watch?v=tg2uF3R_Ozo
남성,20,SG워너비,넌 좋은 사람,넌 좋은 사람,https://musicmeta-phinf.pstatic.net/album/006/195/6195192.jpg,https://www.youtube.com/watch?v=LcAbI7-6T6E
남성,20,DK(디셈버),심(心),심(心),https://musicmeta-phinf.pstatic.net/album/009/045/9045225.jpg,https://www.youtube.com/watch?v=ZbWooNg4IMo
남성,20,엠씨더맥스(M.C the MAX),어디에도,pathos,https://musicmeta-phinf.pstatic.net/album/000/614/614753.jpg,https://www.youtube.com/watch?v=va5rf20Un24
남성,20,프로미스나인,DM,Midnight Guest,https://musicmeta-phinf.pstatic.net/album/006/928/6928278.jpg,https://www.youtube.com/watch?v=W5LhZ-1T6JI
남성,20,브레이브걸스(Brave Girls),운전만해 (We Ride),We Ride,https://musicmeta-phinf.pstatic.net/album/004/790/4790444.jpg,https://www.youtube.com/watch?v=4HjcypoChfQ
남성,20,TWICE(트와이스),Alcohol-Free,Taste of Love,https://musicmeta-phinf.pstatic.net/album/005/993/5993240.jpg,https://www.youtube.com/watch?v=XA2YEHn-A8Q
남성,20,태연 (TAEYEON),Weekend,Weekend,https://musicmeta-phinf.pstatic.net/album/006/153/6153066.jpg,https://www.youtube.com/watch?v=RmuL-BPFi2Q
남성,30,미(MIIII),어디에 (Orchestra Ver.),나쁜남자 OST Part 4,https://musicmeta-phinf.pstatic.net/album/000/175/175491.jpg,https://www.youtube.com/watch?v=QoIMAckaKhI
남성,30,한희정,잔혹한 여행,잔혹한 여행,https://musicmeta-phinf.pstatic.net/album/000/180/180126.jpg,https://www.youtube.com/watch?v=G5p8OzUwGEU
남성,30,HYNN(박혜원),시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,https://musicmeta-phinf.pstatic.net/album/002/970/2970028.jpg,https://www.youtube.com/watch?v=PCKBx-ors60
남성,30,어쿠스틱 콜라보,설렘 가득,"설렘, 사랑 그리고 그리움",https://musicmeta-phinf.pstatic.net/album/000/590/590605.jpg,https://www.youtube.com/watch?v=5M-JomDxKdw
남성,30,어쿠스틱 콜라보,"그대와 나, 설레임 (Feat. 소울맨)",Unplugged,https://musicmeta-phinf.pstatic.net/album/000/208/208797.jpg,https://www.youtube.com/watch?v=XKaUjwE_Los
남성,30,케이시(Kassy),굿모닝 (Good Morning),"KBS2 드라마 쌈, 마이웨이 OST Part 2",https://musicmeta-phinf.pstatic.net/album/002/013/2013907.jpg,https://www.youtube.com/watch?v=IS6qDoxO7Gg
남성,30,윤미래,검은 행복,Y O O N M I R A E,https://musicmeta-phinf.pstatic.net/album/000/046/46040.jpg,https://www.youtube.com/watch?v=1DK-MPh7vKk
남성,30,김보경(NEON),그댄가봐요,육룡이 나르샤 OST Part 1,https://musicmeta-phinf.pstatic.net/album/000/593/593695.jpg,https://www.youtube.com/watch?v=lOsI_TsPL8g
남성,30,빅마마,연(捐),For The People,https://musicmeta-phinf.pstatic.net/album/000/041/41746.jpg,https://www.youtube.com/watch?v=PFZ0lw8pNy4
남성,30,임재범,그대는 어디에,Desire To Fly,https://musicmeta-phinf.pstatic.net/album/000/000/114.jpg,https://www.youtube.com/watch?v=nKb10GKYKc8
남성,30,박화요비,어떤가요,The Gold (Original Recording Remastered),https://musicmeta-phinf.pstatic.net/album/000/643/643378.jpg,https://www.youtube.com/watch?v=1KxHQxJmUhc
남성,30,박화요비,Lie,The Gold (Original Recording Remastered),https://musicmeta-phinf.pstatic.net/album/000/643/643378.jpg,https://www.youtube.com/watch?v=91nYFfqt7HQ
남성,30,박화요비,그런 일은,The Gold (Original Recording Remastered),https://musicmeta-phinf.pstatic.net/album/000/643/643378.jpg,https://www.youtube.com/watch?v=XzdRTG9kIG8
남성,30,지아,물론,Voice Of Heaven,https://musicmeta-phinf.pstatic.net/album/000/060/60508.jpg,https://www.youtube.com/watch?v=eZhPhjdqsF8
남성,30,지아,웃어줄래,로드무비,https://musicmeta-phinf.pstatic.net/album/000/144/144602.jpg,https://www.youtube.com/watch?v=ee00LmV7rG4
남성,30,브라운 아이즈,With Coffee...,Brown Eyes,https://musicmeta-phinf.pstatic.net/album/000/002/2661.jpg,https://www.youtube.com/watch?v=_2zMo-Rhk54
남성,30,브라운 아이드 소울,Love Ballad,BROWNEYED SOUL,https://musicmeta-phinf.pstatic.net/album/000/183/183111.jpg,https://www.youtube.com/watch?v=o4HJptPl6-k
남성,30,나얼,그대 떠난 뒤 (With 브라운 아이드 소울),Back To The Soul Flight,https://musicmeta-phinf.pstatic.net/album/000/027/27056.jpg,https://www.youtube.com/watch?v=mootycHfKfw
남성,30,바닷길,나만 부를 수 있는 노래,무한도전 서해안 고속도로 가요제,https://musicmeta-phinf.pstatic.net/album/000/200/200515.jpg,https://www.youtube.com/watch?v=m-JPc6r3kNY
남성,30,박혜경,빨간 운동화,Feel Me,https://musicmeta-phinf.pstatic.net/album/000/001/1631.jpg,https://www.youtube.com/watch?v=uHz37YbuGJQ
남성,30,박화요비,Promise (Feat. 나얼),My All,https://musicmeta-phinf.pstatic.net/album/000/001/1456.jpg,https://www.youtube.com/watch?v=VVWDiyeV6co
남성,30,양파,령혼,혼 OST,https://musicmeta-phinf.pstatic.net/album/000/158/158767.jpg,https://www.youtube.com/watch?v=W633Io3WWHw
남성,30,양파,Marry Me,The Windows Of My Soul,https://musicmeta-phinf.pstatic.net/album/000/047/47765.jpg,https://www.youtube.com/watch?v=C7FF3X53MAU
남성,30,양파,l.o.v.e,l.o.v.e,https://musicmeta-phinf.pstatic.net/album/000/418/418744.jpg,https://www.youtube.com/watch?v=9C8p3qoogqk
남성,30,영준,니 생각뿐 (Feat. 개리),브라운 아이드 소울 싱글 프로젝트 2nd. 니 생각뿐 By 영준,https://musicmeta-phinf.pstatic.net/album/000/499/499901.jpg,https://www.youtube.com/watch?v=rs-lB9NsFAg
남성,30,윤하,It's Beautiful,It's Beautiful,https://musicmeta-phinf.pstatic.net/album/000/192/192716.jpg,https://www.youtube.com/watch?v=b3rwUvffFS8
남성,30,윤하,My Song And… (Korean Ver.),Part.A Peace Love & Icecream,https://musicmeta-phinf.pstatic.net/album/000/155/155371.jpg,https://www.youtube.com/watch?v=a8N2VVWD80A
남성,30,프리스타일,마음으로 하는 말 (Feat. Hanyi),Dry & Wet,https://musicmeta-phinf.pstatic.net/album/000/154/154418.jpg,https://www.youtube.com/watch?v=Z9AWmtp25QE
남성,30,브라운아이드걸스,Second,Your Story,https://musicmeta-phinf.pstatic.net/album/000/037/37744.jpg,https://www.youtube.com/watch?v=qQZDhPVEpRY
남성,30,가비엔제이,Happiness,The Very First,https://musicmeta-phinf.pstatic.net/album/000/035/35140.jpg,https://www.youtube.com/watch?v=xFfqMavnz9s
남성,30,가비엔제이,Lie,The Beginning,https://musicmeta-phinf.pstatic.net/album/000/142/142630.jpg,https://www.youtube.com/watch?v=mx07exTMACA
남성,30,가비엔제이,해바라기 (FEAT. 써니사이드 MJ),해바라기,https://musicmeta-phinf.pstatic.net/album/008/326/8326996.jpg,https://www.youtube.com/watch?v=xpHJnmp3Lyw
남성,30,에이치 7,LOVE ALL,Love All,https://musicmeta-phinf.pstatic.net/album/000/039/39873.jpg,https://www.youtube.com/watch?v=Nq6RhCHKIhA
남성,30,혜령,바보,To Expection...First,https://musicmeta-phinf.pstatic.net/album/000/001/1707.jpg,https://www.youtube.com/watch?v=VP0mX8kPEYE
남성,30,2Shai,Love Letter (언약),Love Letter,https://musicmeta-phinf.pstatic.net/album/000/003/3104.jpg,https://www.youtube.com/watch?v=g1pAXDOa1lQ
남성,30,프리스타일,Y (Please Tell Me Why),Free Style 3,https://musicmeta-phinf.pstatic.net/album/000/027/27950.jpg,https://www.youtube.com/watch?v=dYIT_jeUBKg
남성,30,러브홀릭,My Dear..,Invisible Things,https://musicmeta-phinf.pstatic.net/album/000/028/28201.jpg,https://www.youtube.com/watch?v=lP3hE1sRseY
남성,30,러브홀릭,다시 피운 꽃,Florist (플로리스트),https://musicmeta-phinf.pstatic.net/album/000/002/2997.jpg,https://www.youtube.com/watch?v=QsWLsE7tpGk
남성,30,에일리(Ailee),첫눈처럼 너에게 가겠다,도깨비 OST Part 9,https://musicmeta-phinf.pstatic.net/album/001/773/1773336.jpg,https://www.youtube.com/watch?v=6rS7OUGXUik
남성,30,박혜경,안녕,Seraphim,https://musicmeta-phinf.pstatic.net/album/000/001/1733.jpg,https://www.youtube.com/watch?v=8VpyJ0vkH6Y
