성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
여성,10,제니 (JENNIE),SOLO,SOLO,https://musicmeta-phinf.pstatic.net/album/002/623/2623361.jpg,https://www.youtube.com/watch?v=b73BI9eUkjM
여성,10,오마이걸(OH MY GIRL),Dolphin,NONSTOP,https://musicmeta-phinf.pstatic.net/album/004/535/4535336.jpg,https://www.youtube.com/watch?v=oaRTMjLdiDw
여성,10,ITZY(있지),마.피.아. In the morning,GUESS WHO,https://musicmeta-phinf.pstatic.net/album/005/740/5740377.jpg,https://www.youtube.com/watch?v=_ysomCGaZLw
여성,10,아이유(IU),Celebrity,IU 5th Album 'LILAC',https://musicmeta-phinf.pstatic.net/album/005/211/5211473.jpg,https://www.youtube.com/watch?v=0-q1KafFCLU
여성,10,방탄소년단,Dynamite,Dynamite (DayTime Version),https://musicmeta-phinf.pstatic.net/album/004/820/4820425.jpg,https://www.youtube.com/watch?v=gdZLi9oWNZg
여성,10,BLACKPINK,Lovesick Girls,THE ALBUM,https://musicmeta-phinf.pstatic.net/album/004/983/4983288.jpg,https://www.youtube.com/watch?v=dyRsYk0LyA8
여성,10,TWICE(트와이스),Alcohol-Free,Taste of Love,https://musicmeta-phinf.pstatic.net/album/005/993/5993240.jpg,https://www.youtube.com/watch?v=XA2YEHn-A8Q
여성,10,아스트로(ASTRO),ONE,All Yours,https://musicmeta-phinf.pstatic.net/album/005/516/5516343.jpg,https://www.youtube.com/watch?v=XxlsLmHwCSk
여성,10,태연 (TAEYEON),사계 (Four Seasons),사계 (Four Seasons),https://musicmeta-phinf.pstatic.net/album/002/950/2950189.jpg,https://www.youtube.com/watch?v=_LvHIVItJHM
여성,10,로제 (ROSE),On The Ground,R,https://musicmeta-phinf.pstatic.net/album/005/338/5338058.jpg,https://www.youtube.com/watch?v=i7AUMU-GDNg
여성,10,Etham,12:45 (Stripped),Stripped - EP,https://musicmeta-phinf.pstatic.net/album/002/830/2830196.jpg,https://www.youtube.com/watch?v=OyTIMOlY1ag
여성,10,청하,Bicycle,Querencia,https://musicmeta-phinf.pstatic.net/album/005/228/5228107.jpg,https://www.youtube.com/watch?v=Cagpf33BJl4
여성,20,카이 (KAI),Rover,Rover - The 3rd Mini Album,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F298%2F9298303.jpg,https://www.youtube.com/watch?v=Qgqk96TJZyI
여성,20,NMIXX,Love Me Like This,expergo,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F286%2F9286430.jpg,https://www.youtube.com/watch?v=EDnwWcFpObo
여성,20,던(DAWN),빛이 나는 너에게,빛이 나는 너에게,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F481%2F9481315.jpg,https://www.youtube.com/watch?v=yyrKLHNCbq0
여성,20,IVE(아이브),Kitsch,I've IVE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F334%2F9334427.jpg,https://www.youtube.com/watch?v=r6p5Avk3GG8
여성,20,김민석(멜로망스),취중고백,취중고백,https://musicmeta-phinf.pstatic.net/album/006/739/6739257.jpg,https://www.youtube.com/watch?v=VMQl78z1DiY
